exclude	exclude.reason	rat.ds	rat.sub	rat.ses	rat.ID.orig	rat.session.date	rat.strain	rat.strain.orig	rat.sex	rat.age	rat.age.orig	rat.weight	rat.weight.orig	rat.vendor.source	rat.breeding.source	rat.comment	exp.type	anesthesia.induction	anesthesia.induction.dose	anesthesia.maintenance	anesthesia.maintenance.dose	anesthesia.route	anesthesia.post.induction.time	anesthesia.post.induction.time.orig	anesthesia.breathing.assistance	anesthesia.breathing.rate	anesthesia.breathing.rate.orig	anesthesia.heart.rate	anesthesia.heart.rate.orig	anesthesia.temperature.org	anesthesia.pCO2.orig	anesthesia.comment	MRI.vendor	MRI.console.orig	MRI.field.strength	MRI.coil.setup.orig	MRI.coil.design.orig	MRI.comment	anat.sequence	anat.contrast	anat.TR	anat.TE	func.sequence	func.TR	func.TE	func.FA	func.resolution.orig	func.n.slices	func.slice.thickness	func.slice.gap	func.volume	func.acceleration.factor.orig	func.shim.orig	func.shim.order.orig	func.bandwidth	func.FOVsat	func.readout.dir	func.comment	func.sensory.system	func.sensory.stimulation	func.sensory.onset	func.sensory.duration	func.sensory.comment	tsnr.S1	tsnr.str	MFW	aromas_CPu_CPu	aromas_MOp_MOp	aromas_S1bf_S1bf	aromas_S1bf_ACA	aromas_S1bf_cat	aromal_CPu_CPu	aromal_MOp_MOp	aromal_S1bf_S1bf	aromal_S1bf_ACA	aromal_S1bf_cat	aromasr_CPu_CPu	aromasr_MOp_MOp	aromasr_S1bf_S1bf	aromasr_S1bf_ACA	aromasr_S1bf_cat	WMCSFs_CPu_CPu	WMCSFs_MOp_MOp	WMCSFs_S1bf_S1bf	WMCSFs_S1bf_ACA	WMCSFs_S1bf_cat	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
		1001	100100	1	20160411_110159	11/04/2016	Long Evans	LONG EVANS	Male			250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	90.0	93.3	510.0	513	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							10.394261658	3.793626316	0.0774437907503315	0.11126509790978284	0.001595572554177428	0.3003806560657736	0.3007222293450548	Unspecific	0.0787502549273552	-0.012706047207259371	0.35404306048848916	0.28409276863079636	Unspecific	0.08889438090654143	-0.0409006092592012	0.2332965744846666	-0.05163375143046103	Specific	-0.10683142032295821	-0.02477579362516593	0.3977317932442365	0.03603332185956603	Specific	-0.07335368284131817	-0.0010496778548547403	0.32018335953668187	-0.09172763032790729	Specific
		1001	100101	1	20160412_100530	12/04/2016	Long Evans	LONG EVANS	Male			200-250	240	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	110.0	105.1	400.0	401	37.8		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							20.510508343	7.711736685	0.0321720314163753	0.026141753220665656	0.3505659687284587	0.2601087858146406	0.011921884776347744	Specific	0.013921116152381377	0.35925857676017486	0.27143729526977217	-0.02071732314812453	Specific	-0.11143613693593304	0.3393005405017192	0.20151766900386067	0.17819262591073903	Unspecific	0.033886537612938035	0.3509463983134605	0.44931483071606515	0.025596965901905654	Specific	0.021226473644356546	0.3504583048706247	0.34979490035261707	-0.012358190224251315	Specific
		1001	100102	1	20160413_094720	13/04/2016	Long Evans	LONG EVANS	Male			250-300	274	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	76.7	490.0	487	37.2		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							39.1977398	14.849503965	0.0266493850177889	0.5045467646878694	-0.00041544557461812046	0.2623590990760591	0.20039560996449166	Unspecific	0.4156076802597295	0.002595643652357324	0.12504195606138382	0.1259036607418595	Unspecific	0.22381673664525265	-0.012326052641471694	0.07523726457826341	-0.18050260359869993	Spurious	0.2227388581950354	0.05054953521072584	0.5076184804307773	0.18866271826868145	Unspecific	0.17556867967290316	0.04883716888869602	0.3726029577692935	0.030937553802790844	Specific
		1001	100103	1	20160419_095544	19/04/2016	Long Evans	LONG EVANS	Male			250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	80.7	500.0	500	36.9		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							23.01349536	12.078388895	0.038316887761403	0.7923513445634441	0.8451233583406776	0.6212660799482008	0.4055361090436492	Unspecific	0.8053867156068485	0.8672405399081456	0.5969556049290409	0.2893880806423925	Unspecific	0.28986222349838003	0.3455454047526563	0.28700381373437134	0.19140862258223432	Unspecific	0.7023791531549668	0.5953054608716294	0.4053068545223386	-0.024644994560260643	Specific	0.6496090209968364	0.6004257096461713	0.3599058102341396	-0.09241144471928095	Specific
		1001	100104	1	20160420_101945	20/04/2016	Long Evans	LONG EVANS	Male			250-300	254	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	119.3	490.0	485	37.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							28.509925325	11.8790815	0.0422380489143184	-0.01340791839623044	0.35615625926621874	0.020300817077089712	0.13388331542396473	Spurious	-0.03411513111162492	0.34195217572016695	-0.0027839141191068166	0.11551744602160922	Spurious	-0.019758923521537936	0.35739393371027184	0.07921428022114885	0.20536333981405153	Spurious	-0.010997902120273344	0.3415484674456986	0.3513390574506711	0.24939669401927608	Unspecific	-0.10931543472122882	0.3665020257607249	0.31022498674070387	0.15815973183934778	Unspecific
		1001	100105	1	20160421_093700	21/04/2016	Long Evans	LONG EVANS	Male			250-300	284	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	119.7	320.0	319	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							32.48993535	17.202052535	0.0240027183318532	0.2601813033877121	-0.04362589291517255	0.1551206094575463	0.016907391148252075	Specific	0.23820177769168427	-0.10675213690980762	0.0015833098353263567	0.06051980409064371	No	0.3773215706057692	-0.09330528030075778	0.2872652652739607	0.3034142188720509	Unspecific	0.36312145235082577	0.20762934412878553	0.2416292306496066	-0.08516324082079961	Specific	0.3147849114835528	0.1896695694030194	0.23123501934865504	-0.0897383655504589	Specific
		1001	100106	1	20160609_141010	09/06/2016	Long Evans	LONG EVANS	Male			300-350	318	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	120.0	124	290.0	289	38.3		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							32.528575365	13.07070642	0.0215617329427501	0.15106997519850573	0.023583091023195953	-0.10244179199261313	-0.009362280169621418	Spurious	0.05453487695145659	-0.015217833820292284	-0.25170679964673087	0.03989787426763371	Spurious	-0.13535823822597454	-0.025696201703235107	-0.2772093178836524	-0.10628531546068529	Spurious	0.27077279891903244	-0.06789292246609294	0.4013346753296016	0.0631159573911882	Specific	0.2216537114745011	-0.07127527042773005	0.2596727683589146	0.03271726062182	Specific
		1001	100107	1	20160610_095040	10/06/2016	Long Evans	LONG EVANS	Male			300-350	326	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	100.0	97.4	370.0	373	37		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							15.40071454	0.42476327835	0.0238598062609933	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No	0.0	0.0	0.0	0.0	No
		1001	100108	1	20160610_132250	10/06/2016	Long Evans	LONG EVANS	Male			250-300	278	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	80.0	80.9	450.0	449	37.7		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							11.440276787499998	2.608358148	0.0466503522832252	0.09709674973681323	0.05714302717572016	-0.09850322514352451	0.044587090345676976	No	0.01487745523987338	0.0350179896945397	-0.054377958176379596	0.008297272294311316	No	0.41892208993710894	-0.09646499884195728	0.20257047865565894	0.3044465469638524	Unspecific	0.21025273493789753	0.026049401245388244	-0.09089568094944483	-0.031953929941601705	No	0.1983689204916336	0.011011684045099248	-0.09369765053693051	-0.0313216814597269	No
		1001	100109	1	20160610_151330	10/06/2016	Long Evans	LONG EVANS	Male			300-350	306	Charles River			resting-state	isoflurane	5	urethane	1250		60.0	60	free-breathing	110.0	112.5	520.0	524	36.6		pCO2 not monitored, 5% isoflurane during 2 min followed by 2% during 10 minutes 	Bruker	Avance III	9.4	T+R	RT-phased array	Quad vol Transmit	turboRARE	T2	3.6	0.031	GE-EPI	0.5	0.02	90.0	0,469x0,469	9.0	1	0.1	3600.0	0	mapshim	2nd	178571	no	LR							39.41486781	16.734702485	0.0302102873049308	0.5615177153961298	0.022939948528073174	-0.05395228943655209	0.10794143003136066	Spurious	0.4071857271204185	0.04594567833410993	-0.09201074069147126	0.08421504099204549	No	0.49324278274124883	0.04809958975386706	-0.14820096641722755	0.07314321997962103	Spurious	0.13100439298693647	0.07309336244359813	0.019707652065837362	0.15159386293187788	Spurious	0.11825531691939073	0.07359015188323068	-0.022193152383343743	0.10063944725928486	Spurious
